Data,Vendas_Dia,Condicoes_Climaticas
2025-01-01,160,Ensolarado
2025-01-02,210,Nublado
2025-01-03,190,Chuvoso
2025-01-04,230,Ensolarado
2025-01-05,260,Nublado
2025-01-06,200,Chuvoso
2025-01-07,220,Ensolarado
2025-01-08,250,Nublado
2025-01-09,210,Chuvoso
2025-01-10,240,Ensolarado
2025-01-11,170,Nublado
2025-01-12,200,Chuvoso
2025-01-13,180,Ensolarado
2025-01-14,190,Nublado
2025-01-15,210,Chuvoso
2025-01-16,220,Ensolarado
2025-01-17,240,Nublado
2025-01-18,200,Chuvoso
2025-01-19,230,Ensolarado
2025-01-20,260,Nublado
2025-01-21,240,Chuvoso
2025-01-22,250,Ensolarado
2025-01-23,210,Nublado
2025-01-24,220,Chuvoso
2025-01-25,200,Ensolarado
2025-01-26,190,Nublado
2025-01-27,180,Chuvoso
2025-01-28,170,Ensolarado
2025-01-29,160,Nublado
2025-01-30,150,Chuvoso
2025-01-31,140,Ensolarado
2025-02-01,160,Ensolarado
2025-02-02,210,Nublado
2025-02-03,190,Chuvoso
2025-02-04,230,Ensolarado
2025-02-05,260,Nublado
2025-02-06,200,Chuvoso
2025-02-07,220,Ensolarado
2025-02-08,250,Nublado
2025-02-09,210,Chuvoso
2025-02-10,240,Ensolarado
2025-02-11,170,Nublado
2025-02-12,200,Chuvoso
2025-02-13,180,Ensolarado
2025-02-14,190,Nublado
2025-02-15,210,Chuvoso
2025-02-16,220,Ensolarado
2025-02-17,240,Nublado
2025-02-18,200,Chuvoso
2025-02-19,230,Ensolarado
2025-02-20,260,Nublado
2025-02-21,240,Chuvoso
2025-02-22,250,Ensolarado
2025-02-23,210,Nublado
2025-02-24,220,Chuvoso
2025-02-25,200,Ensolarado
2025-02-26,190,Nublado
2025-02-27,180,Chuvoso
2025-02-28,170,Ensolarado
